mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_cancer_mean,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean,pseudo_cancer_mean,pseudo_normal_mean,mapped_clusters_mean,folds
both,10,1.0,3,0.1,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,495.2,415.8,79.4,3.4,5
both,10,1.0,3,0.2,0.93,0.0273861278752583,0.9295207716260349,0.027870746071881326,0.9330599225336067,0.96,0.9151515151515153,495.2,415.8,79.4,3.4,5
both,10,1.0,5,0.01,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.02,0.9400000000000001,0.022360679774997838,0.9396977291714134,0.022756368875595935,0.9417179311916154,0.96,0.9303030303030303,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.05,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,430.0,350.6,79.4,3.0,5
both,10,1.0,5,0.2,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,430.0,350.6,79.4,3.0,5
both,15,0.9,2,0.01,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.02,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.05,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.1,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,2,0.2,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,786.6,562.2,224.4,8.6,5
both,15,0.9,3,0.01,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.02,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.05,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.1,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,3,0.2,0.93,0.02738612787525825,0.929722791828055,0.027596429384413042,0.931241740715425,0.9400000000000001,0.9284848484848485,667.8,443.4,224.4,7.0,5
both,15,0.9,5,0.01,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.02,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.05,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
both,15,0.9,5,0.1,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,440.4,216.0,224.4,4.4,5
