accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,fold,mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,n_pseudo,pseudo_cancer,pseudo_normal,mapped_clusters
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,3,0.1,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,3,0.2,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,5,0.01,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,5,0.02,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,5,0.05,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,5,0.1,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,10,1.0,5,0.2,309,309,0,2
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,2,0.01,638,447,191,5
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,2,0.02,638,447,191,5
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,2,0.05,638,447,191,5
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,2,0.1,638,447,191,5
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,2,0.2,638,447,191,5
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.9,3,0.01,500,309,191,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.9,3,0.02,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,3,0.05,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,3,0.1,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,3,0.2,500,309,191,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.9,5,0.01,500,309,191,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.9,5,0.02,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,5,0.05,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,5,0.1,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.9,5,0.2,500,309,191,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.95,2,0.01,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.95,2,0.02,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.95,2,0.05,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.95,2,0.1,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,0.95,2,0.2,538,447,91,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,3,0.01,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,3,0.02,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,3,0.05,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,3,0.1,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,3,0.2,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,5,0.01,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,5,0.02,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,5,0.05,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,5,0.1,400,309,91,3
